Class,FA Card,Description,Major Category,IHS Categorization,My Categorization,Parent,Sub-FA Card,Bar Code,Status,Remarks,Site New Code,Alternate Site ID,Acquisition Cost 31/12/17,Addition in Period,Disposal in Period,Acquisition Cost 31/07/18,Depreciation 31/12/17,Depreciation in Period,Disposal Depreciation in Period,Depreciation 31/07/18,Book Value 31/12/17,Book Value 31/07/18,Dep. Start date,Useful life
TW,FA/TW280629,Cooling System IPT,TOWER,Air Conditioner,Air Conditioner,Parent,FA/TW280629,9000659597,F,"OPERATING, GOOD",IHS_OND_863A,IHS_OND_0863A,"799,313.00",0,0,"799,313.00","-197,608.00","-155,421.00",0,"-353,029.00","601,705.00","446,284.00",4/4/2017,3
TW,FA/TW203086,2HP LG Split Unit,TOWER,Air Conditioner,Air Conditioner,Parent,,9000418286,F,"IDLE, BAD",IHS_OND_878A,IHS_OND_0878A,"75,208.47","305,156.25",0,"380,364.72","-50,136.00","-220,277.00",0,"-270,413.00","25,072.47","109,951.72",1/1/2016,3
TW,FA/TW255751,2HP WINDOW UNIT AC,TOWER,Air Conditioner,Air Conditioner,Parent,,9000418244,F,"OPERATING, GOOD",IHS_OND_885A,IHS_OND_0885A,"180,931.58",0,0,"180,931.58","-65,338.00","-35,182.00",0,"-100,520.00","115,593.58","80,411.58",12/1/2016,3
TW,FA/TW255760,2HP WINDOW UNIT AC,TOWER,Air Conditioner,Air Conditioner,Parent,,9000418245,F,"IDLE, BAD",IHS_OND_885A,IHS_OND_0885A,"180,931.58",0,0,"180,931.58","-65,338.00","-35,182.00",0,"-100,520.00","115,593.58","80,411.58",12/1/2016,3
TW,FA/TW203087,2HP LG Split Unit,TOWER,Air Conditioner,Air Conditioner,Parent,,9000418287,F,"IDLE, BAD",IHS_OND_878A,IHS_OND_0878A,"75,208.47","74,375.00",0,"149,583.47","-50,136.00","-35,280.00",0,"-85,416.00","25,072.47","64,167.47",1/1/2016,3
TW,FA/TW203127,2HP LG Split Unit,TOWER,Air Conditioner,Air Conditioner,Parent,,9000418102,F,"OPERATING, GOOD",IHS_OND_871A,IHS_OND_0871A,"75,208.47",0,0,"75,208.47","-50,136.00","-14,625.00",0,"-64,761.00","25,072.47","10,447.47",1/1/2016,3
TW,FA/TW203128,2HP LG Split Unit,TOWER,Air Conditioner,Air Conditioner,Parent,,9000418103,F,"OPERATING, GOOD",IHS_OND_871A,IHS_OND_0871A,"75,208.47",0,0,"75,208.47","-50,136.00","-14,625.00",0,"-64,761.00","25,072.47","10,447.47",1/1/2016,3
TW,FA/TW203069,2HP LG Split Unit,TOWER,Air Conditioner,Air Conditioner,Parent,FA/TW203069,,NF,,IHS_OND_885A,IHS_OND_0885A,"75,208.47",0,0,"75,208.47","-50,136.00","-14,625.00",0,"-64,761.00","25,072.47","10,447.47",1/1/2016,3
TW,FA/TW203070,2HP LG Split Unit,TOWER,Air Conditioner,Air Conditioner,Child,FA/TW203069,,NF,,IHS_OND_885A,IHS_OND_0885A,"75,208.47",0,0,"75,208.47","-50,136.00","-14,625.00",0,"-64,761.00","25,072.47","10,447.47",1/1/2016,3
TW,FA/TW203071,2HP LG Split Unit,TOWER,Air Conditioner,Air Conditioner,Child,FA/TW203069,,NF,,IHS_OND_885A,IHS_OND_0885A,"75,208.47",0,0,"75,208.47","-50,136.00","-14,625.00",0,"-64,761.00","25,072.47","10,447.47",1/1/2016,3
